rank	gene	description	N	n	npat	nsite	nsil	n1	n2	n3	n4	n5	n6	p_classic	p_ns_s	p_clust	p_cons	p_joint	p	q
5440	RDH16	retinol dehydrogenase 16 (all-trans)	358284	1	1	1	1	0	1	0	0	0	0	0.413	0.899	NaN	NaN	NaN	0.413	1.000
5441	KIAA0247	KIAA0247	344976	1	1	1	0	0	0	0	0	1	0	0.413	1.000	NaN	NaN	NaN	0.413	1.000
5442	RPL9	ribosomal protein L9	223549	1	1	1	0	0	0	0	1	0	0	0.413	0.837	NaN	NaN	NaN	0.413	1.000
5443	A4GALT	alpha 1,4-galactosyltransferase (globotriaosylceramide synthase)	363899	1	1	1	0	1	0	0	0	0	0	0.413	0.637	NaN	NaN	NaN	0.413	1.000
5444	TRIML1	tripartite motif family-like 1	528626	2	2	2	1	0	1	0	1	0	0	0.275	0.825	0.546	0.436	0.504	0.413	1.000
5445	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide	284232	1	1	1	0	0	0	0	1	0	0	0.413	0.856	NaN	NaN	NaN	0.413	1.000
5446	MRPS7	mitochondrial ribosomal protein S7	270927	1	1	1	0	0	1	0	0	0	0	0.413	0.745	NaN	NaN	NaN	0.413	1.000
5447	DCAF5	DDB1 and CUL4 associated factor 5	1042422	3	3	3	1	0	1	0	2	0	0	0.425	0.725	0.878	0.0971	0.327	0.413	1.000
5448	LRRC19	leucine rich repeat containing 19	416622	1	1	1	0	0	0	0	0	1	0	0.413	0.861	NaN	NaN	NaN	0.413	1.000
5449	ZNF92	zinc finger protein 92	616992	2	2	2	0	0	1	1	0	0	0	0.327	0.461	0.0443	0.960	0.425	0.413	1.000
5450	CA1	carbonic anhydrase I	301476	1	1	1	0	0	0	0	0	1	0	0.413	0.839	NaN	NaN	NaN	0.413	1.000
5451	NDUFA9	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9, 39kDa	434844	1	1	1	0	0	0	1	0	0	0	0.413	0.688	NaN	NaN	NaN	0.413	1.000
5452	NFKBID	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, delta	345520	1	1	1	0	0	0	1	0	0	0	0.413	0.580	NaN	NaN	NaN	0.413	1.000
5453	SLC4A9	solute carrier family 4, sodium bicarbonate cotransporter, member 9	1095325	2	2	2	1	0	1	1	0	0	0	0.775	0.803	0.129	0.601	0.179	0.413	1.000
5454	HSPB3	heat shock 27kDa protein 3	169922	1	1	1	0	0	0	0	0	1	0	0.413	1.000	NaN	NaN	NaN	0.413	1.000
5455	ZNF133	zinc finger protein 133	722960	2	2	2	0	0	1	0	1	0	0	0.542	0.625	0.0230	0.527	0.257	0.413	1.000
5456	UBE2U	ubiquitin-conjugating enzyme E2U (putative)	266658	1	1	1	0	0	0	0	0	1	0	0.413	0.870	NaN	NaN	NaN	0.413	1.000
5457	C9orf171	chromosome 9 open reading frame 171	340464	2	2	2	0	0	0	2	0	0	0	0.172	0.313	0.387	0.788	0.809	0.414	1.000
5458	TEKT2	tektin 2 (testicular)	491037	2	2	2	0	0	0	1	1	0	0	0.410	0.426	0.162	0.412	0.339	0.414	1.000
5459	FBXO36	F-box protein 36	216431	2	2	2	1	0	0	0	1	1	0	0.139	0.952	0.355	0.539	1.000	0.414	1.000
5460	DPP8	dipeptidyl-peptidase 8	1025890	3	3	3	2	0	1	0	1	1	0	0.842	0.837	0.256	0.154	0.165	0.414	1.000
5461	DACH1	dachshund homolog 1 (Drosophila)	700890	6	6	6	2	0	1	0	3	2	0	0.262	0.785	0.931	0.253	0.531	0.414	1.000
5462	OR2B6	olfactory receptor, family 2, subfamily B, member 6	350972	1	1	1	0	0	0	1	0	0	0	0.414	0.621	NaN	NaN	NaN	0.414	1.000
5463	ANKRD27	ankyrin repeat domain 27 (VPS9 domain)	1196357	5	5	5	0	0	2	1	2	0	0	0.252	0.223	0.744	0.232	0.553	0.414	1.000
5464	C9orf129	chromosome 9 open reading frame 129	224811	1	1	1	0	0	0	0	0	1	0	0.414	1.000	NaN	NaN	NaN	0.414	1.000
5465	SAR1A	SAR1 gene homolog A (S. cerevisiae)	229523	1	1	1	1	1	0	0	0	0	0	0.414	0.960	NaN	NaN	NaN	0.414	1.000
5466	EIF4H	eukaryotic translation initiation factor 4H	286924	1	1	1	0	0	0	0	1	0	0	0.414	0.824	NaN	NaN	NaN	0.414	1.000
5467	UTS2R	urotensin 2 receptor	247363	1	1	1	1	0	0	0	1	0	0	0.414	0.948	NaN	NaN	NaN	0.414	1.000
5468	LHCGR	luteinizing hormone/choriogonadotropin receptor	765452	6	6	6	2	0	2	0	4	0	0	0.140	0.662	0.920	0.786	1.000	0.414	1.000
5469	DNAH8	dynein, axonemal, heavy chain 8	5099987	20	19	20	4	1	6	6	3	4	0	0.424	0.211	0.191	0.468	0.329	0.414	1.000
5470	CDC37L1	cell division cycle 37 homolog (S. cerevisiae)-like 1	381469	2	2	2	0	0	0	1	1	0	0	0.192	0.665	0.721	0.482	0.726	0.415	1.000
5471	ZC3HAV1L	zinc finger CCCH-type, antiviral 1-like	228133	1	1	1	0	0	0	0	1	0	0	0.415	0.837	NaN	NaN	NaN	0.415	1.000
5472	KCNF1	potassium voltage-gated channel, subfamily F, member 1	492926	2	2	1	2	0	0	2	0	0	0	1.000	0.601	0.0131	0.193	0.140	0.415	1.000
5473	TECR	trans-2,3-enoyl-CoA reductase	351213	1	1	1	0	0	1	0	0	0	0	0.415	0.892	NaN	NaN	NaN	0.415	1.000
5474	PRSS23	protease, serine, 23	424579	1	1	1	1	1	0	0	0	0	0	0.415	0.952	NaN	NaN	NaN	0.415	1.000
5475	OR5P3	olfactory receptor, family 5, subfamily P, member 3	348235	1	1	1	1	0	1	0	0	0	0	0.415	0.948	NaN	NaN	NaN	0.415	1.000
5476	PRRG3	proline rich Gla (G-carboxyglutamic acid) 3 (transmembrane)	261886	1	1	1	0	0	0	0	1	0	0	0.415	0.814	NaN	NaN	NaN	0.415	1.000
5477	SPZ1	spermatogenic leucine zipper 1	482403	2	2	2	0	0	1	1	0	0	0	0.311	0.443	0.997	0.395	0.451	0.415	1.000
5478	NDUFS4	NADH dehydrogenase (ubiquinone) Fe-S protein 4, 18kDa (NADH-coenzyme Q reductase)	203391	1	1	1	0	0	1	0	0	0	0	0.415	0.662	NaN	NaN	NaN	0.415	1.000
5479	TRIM34	tripartite motif-containing 34	543027	2	2	2	0	1	1	0	0	0	0	0.213	0.547	0.993	0.475	0.656	0.415	1.000
5480	BFSP2	beaded filament structural protein 2, phakinin	469834	3	3	3	0	0	1	0	0	2	0	0.168	0.598	0.795	0.416	0.833	0.415	1.000
5481	C11orf74	chromosome 11 open reading frame 74	252408	1	1	1	0	0	1	0	0	0	0	0.415	0.651	NaN	NaN	NaN	0.415	1.000
5482	SLFN13	schlafen family member 13	997596	5	5	5	0	0	0	2	1	2	0	0.154	0.290	0.784	0.448	0.911	0.415	1.000
5483	TDRD12	tudor domain containing 12	455481	1	1	1	0	0	1	0	0	0	0	0.415	0.651	NaN	NaN	NaN	0.415	1.000
5484	PRRT3	proline-rich transmembrane protein 3	851678	2	2	2	2	1	0	0	0	1	0	0.770	0.900	0.413	0.153	0.182	0.415	1.000
5485	SCCPDH	saccharopine dehydrogenase (putative)	483390	2	2	2	0	0	0	0	1	1	0	0.254	0.684	0.176	0.622	0.552	0.415	1.000
5486	HMG20A	high-mobility group 20A	388564	2	2	2	0	0	0	1	1	0	0	0.140	0.552	0.789	0.695	1.000	0.415	1.000
5487	OR11H6	olfactory receptor, family 11, subfamily H, member 6	370277	1	1	1	2	0	0	0	0	1	0	0.416	1.000	NaN	NaN	NaN	0.416	1.000
5488	SAAL1	serum amyloid A-like 1	513734	2	2	2	0	0	0	0	0	2	0	0.423	1.000	0.747	0.279	0.331	0.416	1.000
5489	ACADL	acyl-Coenzyme A dehydrogenase, long chain	479042	2	2	2	0	0	0	0	0	2	0	0.220	1.000	0.455	0.494	0.638	0.416	1.000
5490	GGTLC2	gamma-glutamyltransferase light chain 2	241855	1	1	1	0	0	0	0	1	0	0	0.416	0.812	NaN	NaN	NaN	0.416	1.000
5491	TOP3B	topoisomerase (DNA) III beta	966500	3	3	3	0	1	1	0	0	1	0	0.470	0.525	0.228	0.833	0.298	0.416	1.000
5492	IL23A	interleukin 23, alpha subunit p19	217402	1	1	1	0	0	0	0	0	1	0	0.416	0.823	NaN	NaN	NaN	0.416	1.000
5493	SLC25A36	solute carrier family 25, member 36	347853	2	2	2	0	1	1	0	0	0	0	0.153	0.505	0.894	0.959	0.920	0.416	1.000
5494	NKX2-8	NK2 homeobox 8	168510	1	1	1	0	0	0	0	1	0	0	0.416	0.791	NaN	NaN	NaN	0.416	1.000
5495	UCP2	uncoupling protein 2 (mitochondrial, proton carrier)	350621	1	1	1	0	0	0	0	1	0	0	0.416	0.796	NaN	NaN	NaN	0.416	1.000
5496	QRICH2	glutamine rich 2	1843344	6	6	6	0	0	1	1	1	3	0	0.317	0.346	0.290	0.811	0.443	0.416	1.000
5497	TRIM41	tripartite motif-containing 41	706137	4	4	4	0	0	1	2	1	0	0	0.191	0.211	0.973	0.312	0.735	0.416	1.000
5498	SLC10A7	solute carrier family 10 (sodium/bile acid cotransporter family), member 7	411949	2	2	2	0	0	0	1	0	1	0	0.141	0.541	0.905	0.626	1.000	0.416	1.000
5499	FAM151B	family with sequence similarity 151, member B	312404	1	1	1	1	0	1	0	0	0	0	0.416	0.878	NaN	NaN	NaN	0.416	1.000
5500	FAM192A	family with sequence similarity 192, member A	292812	1	1	1	0	0	0	0	1	0	0	0.417	0.856	NaN	NaN	NaN	0.417	1.000
5501	COMMD1	copper metabolism (Murr1) domain containing 1	207100	1	1	1	0	0	1	0	0	0	0	0.417	0.727	NaN	NaN	NaN	0.417	1.000
5502	CABP4	calcium binding protein 4	296977	1	1	1	1	0	0	1	0	0	0	0.417	0.871	NaN	NaN	NaN	0.417	1.000
5503	THAP7	THAP domain containing 7	319424	2	2	2	1	1	1	0	0	0	0	0.180	0.845	0.278	0.913	0.780	0.417	1.000
5504	ST3GAL6	ST3 beta-galactoside alpha-2,3-sialyltransferase 6	383444	1	1	1	0	0	0	0	1	0	0	0.417	0.856	NaN	NaN	NaN	0.417	1.000
5505	TDGF1	teratocarcinoma-derived growth factor 1	219373	1	1	1	0	0	0	0	1	0	0	0.417	0.828	NaN	NaN	NaN	0.417	1.000
5506	NACA2	nascent polypeptide-associated complex alpha subunit 2	242436	1	1	1	1	0	0	0	0	1	0	0.417	0.929	NaN	NaN	NaN	0.417	1.000
5507	FAM73A	family with sequence similarity 73, member A	718569	4	4	4	0	0	2	0	1	1	0	0.183	0.246	0.675	0.986	0.771	0.417	1.000
5508	SAFB2	scaffold attachment factor B2	1027981	3	3	3	1	2	0	0	1	0	0	0.597	0.695	0.223	0.205	0.236	0.417	1.000
5509	RGS16	regulator of G-protein signaling 16	229624	1	1	1	0	0	0	0	1	0	0	0.417	0.844	NaN	NaN	NaN	0.417	1.000
5510	CLEC4E	C-type lectin domain family 4, member E	253912	1	1	1	0	0	0	1	0	0	0	0.417	0.655	NaN	NaN	NaN	0.417	1.000
5511	C14orf28	chromosome 14 open reading frame 28	352209	1	1	1	0	0	0	0	1	0	0	0.417	0.867	NaN	NaN	NaN	0.417	1.000
5512	CNOT10	CCR4-NOT transcription complex, subunit 10	856580	3	3	3	1	0	2	0	1	0	0	0.325	0.653	0.302	0.567	0.434	0.418	1.000
5513	ATP10D	ATPase, class V, type 10D	1618971	6	6	6	0	0	2	1	1	2	0	0.278	0.163	0.401	0.471	0.509	0.418	1.000
5514	CFH	complement factor H	1412458	7	7	7	0	0	1	0	2	4	0	0.207	0.378	0.447	0.786	0.682	0.418	1.000
5515	SPSB1	splA/ryanodine receptor domain and SOCS box containing 1	299868	2	2	2	0	0	1	1	0	0	0	0.141	0.428	0.107	0.257	1.000	0.418	1.000
5516	PDCL2	phosducin-like 2	277732	1	1	1	0	0	0	0	1	0	0	0.418	0.884	NaN	NaN	NaN	0.418	1.000
5517	CRYZL1	crystallin, zeta (quinone reductase)-like 1	407598	1	1	1	1	0	0	0	1	0	0	0.418	0.938	NaN	NaN	NaN	0.418	1.000
5518	TRIM31	tripartite motif-containing 31	485544	2	2	2	0	0	1	0	0	1	0	0.403	0.716	0.699	0.251	0.351	0.418	1.000
5519	CGREF1	cell growth regulator with EF-hand domain 1	378175	1	1	1	0	0	0	0	1	0	0	0.418	0.814	NaN	NaN	NaN	0.418	1.000
5520	USH1C	Usher syndrome 1C (autosomal recessive, severe)	981495	2	2	2	1	0	0	1	1	0	0	0.666	0.819	0.115	0.0746	0.212	0.418	1.000
5521	SDR42E1	short chain dehydrogenase/reductase family 42E, member 1	432444	1	1	1	0	0	1	0	0	0	0	0.418	0.695	NaN	NaN	NaN	0.418	1.000
5522	CES1	carboxylesterase 1 (monocyte/macrophage serine esterase 1)	649777	3	3	3	1	0	1	1	0	1	0	0.142	0.604	0.622	0.839	1.000	0.418	1.000
5523	TNNT3	troponin T type 3 (skeletal, fast)	337898	1	1	1	1	0	0	1	0	0	0	0.418	0.949	NaN	NaN	NaN	0.418	1.000
5524	OLIG2	oligodendrocyte lineage transcription factor 2	217187	1	1	1	1	0	0	0	1	0	0	0.419	0.955	NaN	NaN	NaN	0.419	1.000
5525	NHSL1	NHS-like 1	1820874	3	3	3	0	0	1	1	0	1	0	0.943	0.445	0.929	0.0265	0.150	0.419	1.000
5526	CDX4	caudal type homeobox 4	289671	1	1	1	0	0	0	0	1	0	0	0.419	0.822	NaN	NaN	NaN	0.419	1.000
5527	HSP90B1	heat shock protein 90kDa beta (Grp94), member 1	922824	5	5	5	0	0	1	0	2	2	0	0.187	0.484	0.625	0.635	0.758	0.419	1.000
5528	ALPK3	alpha-kinase 3	1910969	3	3	3	2	0	2	0	0	1	0	0.997	0.935	0.182	0.216	0.142	0.419	1.000
5529	HDC	histidine decarboxylase	748126	4	3	4	1	1	1	1	0	1	0	0.192	0.584	0.597	0.856	0.740	0.419	1.000
5530	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	394280	2	2	2	0	0	0	0	1	1	0	0.142	0.659	0.393	0.237	1.000	0.419	1.000
5531	KCMF1	potassium channel modulatory factor 1	431925	1	1	1	0	1	0	0	0	0	0	0.419	0.803	NaN	NaN	NaN	0.419	1.000
5532	GAR1	GAR1 ribonucleoprotein homolog (yeast)	229723	1	1	1	0	0	1	0	0	0	0	0.419	0.560	NaN	NaN	NaN	0.419	1.000
5533	KCNIP4	Kv channel interacting protein 4	339135	1	1	1	0	1	0	0	0	0	0	0.419	0.706	NaN	NaN	NaN	0.419	1.000
5534	VGLL4	vestigial like 4 (Drosophila)	330834	1	1	1	0	0	0	0	0	1	0	0.419	1.000	NaN	NaN	NaN	0.419	1.000
5535	LHX6	LIM homeobox 6	408670	2	2	2	0	0	1	0	1	0	0	0.241	0.704	0.590	0.191	0.589	0.419	1.000
5536	NOX5	NADPH oxidase, EF-hand calcium binding domain 5	831423	3	3	3	1	0	2	0	0	1	0	0.429	0.901	0.215	0.264	0.331	0.419	1.000
5537	NPHS2	nephrosis 2, idiopathic, steroid-resistant (podocin)	399257	1	1	1	1	0	0	1	0	0	0	0.419	0.933	NaN	NaN	NaN	0.419	1.000
5538	DNAJB2	DnaJ (Hsp40) homolog, subfamily B, member 2	377469	1	1	1	0	0	0	1	0	0	0	0.419	0.598	NaN	NaN	NaN	0.419	1.000
5539	CDRT15	CMT1A duplicated region transcript 15	213706	1	1	1	0	0	1	0	0	0	0	0.420	0.662	NaN	NaN	NaN	0.420	1.000
5540	HDAC11	histone deacetylase 11	399020	1	1	1	0	1	0	0	0	0	0	0.420	0.729	NaN	NaN	NaN	0.420	1.000
5541	ZBTB7A	zinc finger and BTB domain containing 7A	364983	1	1	1	0	1	0	0	0	0	0	0.420	0.570	NaN	NaN	NaN	0.420	1.000
5542	AQP11	aquaporin 11	296564	1	1	1	0	0	0	0	1	0	0	0.420	0.820	NaN	NaN	NaN	0.420	1.000
5543	SERPINA11	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 11	473684	1	1	1	0	0	0	1	0	0	0	0.420	0.587	NaN	NaN	NaN	0.420	1.000
5544	OR2M2	olfactory receptor, family 2, subfamily M, member 2	388992	2	2	2	0	0	1	0	1	0	0	0.142	0.606	0.568	0.712	1.000	0.420	1.000
5545	MAML1	mastermind-like 1 (Drosophila)	996508	2	2	2	1	0	0	0	1	1	0	0.788	0.927	0.417	0.123	0.181	0.420	1.000
5546	ALX3	aristaless-like homeobox 3	330363	1	1	1	0	0	0	0	1	0	0	0.420	0.800	NaN	NaN	NaN	0.420	1.000
5547	SLC25A39	solute carrier family 25, member 39	406800	1	1	1	0	0	0	1	0	0	0	0.420	0.578	NaN	NaN	NaN	0.420	1.000
5548	ANKMY2	ankyrin repeat and MYND domain containing 2	507205	2	2	2	1	0	0	0	2	0	0	0.270	0.946	0.349	0.617	0.528	0.421	1.000
5549	SVIL	supervillin	2496612	8	8	8	1	1	2	3	1	1	0	0.506	0.208	0.170	0.913	0.282	0.421	1.000
5550	GMPR2	guanosine monophosphate reductase 2	420329	1	1	1	0	0	0	0	0	1	0	0.421	1.000	NaN	NaN	NaN	0.421	1.000
5551	ALDOB	aldolase B, fructose-bisphosphate	417632	1	1	1	1	0	0	0	1	0	0	0.421	0.934	NaN	NaN	NaN	0.421	1.000
5552	ZNF681	zinc finger protein 681	664638	6	6	6	3	0	2	0	2	2	0	0.326	0.925	0.302	0.329	0.439	0.421	1.000
5553	KLHL2	kelch-like 2, Mayven (Drosophila)	693891	2	2	2	1	0	0	0	2	0	0	0.547	0.876	0.499	0.0432	0.261	0.421	1.000
5554	HOXB5	homeobox B5	290291	2	2	2	1	0	0	0	2	0	0	0.143	0.839	0.957	0.807	1.000	0.421	1.000
5555	FAM57B	family with sequence similarity 57, member B	293157	1	1	1	0	0	0	0	1	0	0	0.421	0.808	NaN	NaN	NaN	0.421	1.000
5556	LRP11	low density lipoprotein receptor-related protein 11	338925	1	1	1	1	0	0	1	0	0	0	0.421	0.885	NaN	NaN	NaN	0.421	1.000
5557	DNAJC5	DnaJ (Hsp40) homolog, subfamily C, member 5	219396	1	1	1	0	0	0	0	1	0	0	0.421	0.854	NaN	NaN	NaN	0.421	1.000
5558	KIRREL	kin of IRRE like (Drosophila)	860517	5	5	5	2	0	1	1	2	1	0	0.388	0.795	0.729	0.151	0.369	0.421	1.000
5559	OR5B21	olfactory receptor, family 5, subfamily B, member 21	345579	1	1	1	1	0	0	1	0	0	0	0.421	0.926	NaN	NaN	NaN	0.421	1.000
5560	TPD52	tumor protein D52	290757	1	1	1	0	0	0	0	1	0	0	0.421	0.839	NaN	NaN	NaN	0.421	1.000
5561	USP9X	ubiquitin specific peptidase 9, X-linked	2921962	8	7	8	2	0	1	1	1	5	0	0.966	0.802	0.288	0.0498	0.148	0.421	1.000
5562	AGPS	alkylglycerone phosphate synthase	720537	3	3	3	1	0	0	1	1	1	0	0.198	0.764	0.582	0.169	0.724	0.421	1.000
5563	RTP2	receptor (chemosensory) transporter protein 2	254397	1	1	1	0	0	0	0	1	0	0	0.421	0.846	NaN	NaN	NaN	0.421	1.000
5564	MYCN	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	421405	2	2	2	1	0	1	0	1	0	0	0.171	0.841	0.357	0.526	0.838	0.421	1.000
5565	LSAMP	limbic system-associated membrane protein	387937	2	2	2	0	1	0	0	1	0	0	0.146	0.552	0.843	0.250	0.978	0.421	1.000
5566	CTNNA1	catenin (cadherin-associated protein), alpha 1, 102kDa	1030419	3	2	3	2	0	1	0	1	1	0	0.852	0.906	0.0760	0.212	0.168	0.421	1.000
5567	RICTOR	RPTOR independent companion of MTOR, complex 2	1950969	8	8	8	0	1	0	1	4	2	0	0.143	0.211	0.816	0.957	1.000	0.421	1.000
5568	CPSF4L	cleavage and polyadenylation specific factor 4-like	208076	1	1	1	0	0	1	0	0	0	0	0.422	0.795	NaN	NaN	NaN	0.422	1.000
5569	RNF149	ring finger protein 149	405565	1	1	1	0	0	1	0	0	0	0	0.422	0.674	NaN	NaN	NaN	0.422	1.000
5570	SEMA3D	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D	885696	7	7	7	2	0	3	1	3	0	0	0.216	0.666	0.622	0.339	0.663	0.422	1.000
5571	PRH1	proline-rich protein HaeIII subfamily 1	192199	1	1	1	1	0	0	0	0	1	0	0.422	1.000	NaN	NaN	NaN	0.422	1.000
5572	RNF151	ring finger protein 151	257296	1	1	1	0	0	0	0	1	0	0	0.422	0.821	NaN	NaN	NaN	0.422	1.000
5573	ZNF707	zinc finger protein 707	389559	2	2	2	0	0	2	0	0	0	0	0.338	0.677	0.800	0.451	0.425	0.422	1.000
5574	AURKA	aurora kinase A	460470	1	1	1	1	0	0	1	0	0	0	0.422	0.952	NaN	NaN	NaN	0.422	1.000
5575	MS4A2	membrane-spanning 4-domains, subfamily A, member 2 (Fc fragment of IgE, high affinity I, receptor for; beta polypeptide)	300731	3	2	3	1	0	0	0	3	0	0	0.184	0.799	0.397	0.349	0.781	0.422	1.000
5576	POLR2B	polymerase (RNA) II (DNA directed) polypeptide B, 140kDa	1341986	6	5	6	1	0	3	1	0	2	0	0.246	0.415	0.396	0.517	0.585	0.423	1.000
5577	POLR3H	polymerase (RNA) III (DNA directed) polypeptide H (22.9kD)	230806	1	1	1	0	0	0	0	0	1	0	0.423	0.838	NaN	NaN	NaN	0.423	1.000
5578	NUDT22	nudix (nucleoside diphosphate linked moiety X)-type motif 22	312879	1	1	1	0	0	0	1	0	0	0	0.423	0.576	NaN	NaN	NaN	0.423	1.000
5579	CRYBA1	crystallin, beta A1	248890	1	1	1	0	0	0	1	0	0	0	0.423	0.623	NaN	NaN	NaN	0.423	1.000
5580	TPRN	taperin	555388	3	3	3	1	0	0	1	1	1	0	0.210	0.735	0.370	0.584	0.686	0.423	1.000
5581	KRT37	keratin 37	510057	2	2	2	0	0	0	1	1	0	0	0.336	0.439	0.659	0.158	0.428	0.423	1.000
5582	RAB19	RAB19, member RAS oncogene family	244903	1	1	1	0	0	0	0	1	0	0	0.423	0.836	NaN	NaN	NaN	0.423	1.000
5583	MPG	N-methylpurine-DNA glycosylase	333552	2	2	2	0	0	0	0	1	1	0	0.268	0.801	0.432	0.639	0.538	0.423	1.000
5584	TSPAN19	tetraspanin 19	287442	2	2	2	0	0	0	0	0	2	0	0.269	1.000	0.721	0.254	0.536	0.423	1.000
5585	DUSP18	dual specificity phosphatase 18	212051	1	1	1	0	1	0	0	0	0	0	0.423	0.706	NaN	NaN	NaN	0.423	1.000
5586	TCEA3	transcription elongation factor A (SII), 3	386027	2	2	2	0	0	0	0	1	1	0	0.241	0.646	0.557	0.424	0.597	0.423	1.000
5587	CAMLG	calcium modulating ligand	333694	1	1	1	0	0	0	0	1	0	0	0.423	0.823	NaN	NaN	NaN	0.423	1.000
5588	NUP93	nucleoporin 93kDa	922609	3	3	3	1	0	1	0	1	1	0	0.557	0.793	0.235	0.325	0.259	0.424	1.000
5589	ZYG11A	zyg-11 homolog A (C. elegans)	865180	2	2	2	0	0	0	2	0	0	0	0.486	0.406	0.0259	0.262	0.297	0.424	1.000
5590	HOXC11	homeobox C11	313712	2	2	2	0	0	0	1	1	0	0	0.144	0.429	0.741	0.658	1.000	0.424	1.000
5591	MAGEB18	melanoma antigen family B, 18	384130	2	2	2	0	0	0	1	0	1	0	0.145	0.552	0.704	0.665	1.000	0.424	1.000
5592	SDF2	stromal cell-derived factor 2	240190	1	1	1	0	0	0	0	1	0	0	0.424	0.821	NaN	NaN	NaN	0.424	1.000
5593	ST3GAL2	ST3 beta-galactoside alpha-2,3-sialyltransferase 2	378720	1	1	1	0	0	0	0	0	1	0	0.424	1.000	NaN	NaN	NaN	0.424	1.000
5594	LMX1B	LIM homeobox transcription factor 1, beta	427480	2	2	2	1	0	1	0	1	0	0	0.288	0.941	0.987	0.236	0.502	0.424	1.000
5595	CD8B	CD8b molecule	328778	1	1	1	0	0	0	0	1	0	0	0.424	0.853	NaN	NaN	NaN	0.424	1.000
5596	MADCAM1	mucosal vascular addressin cell adhesion molecule 1	279417	1	1	1	0	0	0	0	1	0	0	0.424	0.772	NaN	NaN	NaN	0.424	1.000
5597	LMO2	LIM domain only 2 (rhombotin-like 1)	205916	1	1	1	0	0	1	0	0	0	0	0.425	0.808	NaN	NaN	NaN	0.425	1.000
5598	NECAB1	N-terminal EF-hand calcium binding protein 1	408337	1	1	1	1	0	0	0	0	1	0	0.425	0.982	NaN	NaN	NaN	0.425	1.000
5599	CYGB	cytoglobin	212489	1	1	1	0	0	1	0	0	0	0	0.425	0.875	NaN	NaN	NaN	0.425	1.000
5600	FUZ	fuzzy homolog (Drosophila)	439003	1	1	1	0	0	1	0	0	0	0	0.425	0.779	NaN	NaN	NaN	0.425	1.000
5601	TTC9B	tetratricopeptide repeat domain 9B	177494	1	1	1	0	0	0	0	1	0	0	0.425	0.803	NaN	NaN	NaN	0.425	1.000
5602	OR2F2	olfactory receptor, family 2, subfamily F, member 2	354778	2	2	2	0	0	0	0	0	2	0	0.206	1.000	0.243	0.709	0.702	0.425	1.000
5603	PIK3R2	phosphoinositide-3-kinase, regulatory subunit 2 (beta)	675099	4	4	4	0	1	2	0	0	1	0	0.145	0.382	0.979	0.645	1.000	0.425	1.000
5604	PSMB3	proteasome (prosome, macropain) subunit, beta type, 3	238734	1	1	1	0	0	0	0	0	1	0	0.425	0.800	NaN	NaN	NaN	0.425	1.000
5605	HOOK2	hook homolog 2 (Drosophila)	763427	3	3	3	0	0	1	0	0	2	0	0.281	0.785	0.397	0.281	0.516	0.425	1.000
5606	OR2C1	olfactory receptor, family 2, subfamily C, member 1	342212	1	1	1	0	0	0	1	0	0	0	0.425	0.520	NaN	NaN	NaN	0.425	1.000
5607	PRG3	proteoglycan 3	255471	1	1	1	0	0	0	0	1	0	0	0.425	0.852	NaN	NaN	NaN	0.425	1.000
5608	UHRF1BP1L	UHRF1 (ICBP90) binding protein 1-like	1656178	4	4	4	1	0	2	0	1	1	0	0.663	0.507	0.142	0.271	0.219	0.425	1.000
5609	PABPC1L2A	poly(A) binding protein, cytoplasmic 1-like 2A	225804	1	1	1	0	0	0	0	0	1	0	0.425	1.000	NaN	NaN	NaN	0.425	1.000
5610	PABPC1L2B	poly(A) binding protein, cytoplasmic 1-like 2B	225804	1	1	1	0	0	0	0	0	1	0	0.425	1.000	NaN	NaN	NaN	0.425	1.000
5611	PDXK	pyridoxal (pyridoxine, vitamin B6) kinase	340894	1	1	1	0	0	0	0	0	1	0	0.425	0.836	NaN	NaN	NaN	0.425	1.000
5612	FOXN1	forkhead box N1	722904	4	4	3	0	0	1	0	1	2	0	0.198	0.388	0.552	0.934	0.734	0.425	1.000
5613	TSPAN3	tetraspanin 3	283399	2	2	2	0	0	2	0	0	0	0	0.159	0.487	0.877	0.0451	0.915	0.425	1.000
5614	CD55	CD55 molecule, decay accelerating factor for complement (Cromer blood group)	443593	3	3	3	1	0	0	1	1	1	0	0.145	0.837	0.688	0.654	1.000	0.425	1.000
5615	NLRP12	NLR family, pyrin domain containing 12	1190976	7	7	7	2	0	0	2	5	0	0	0.179	0.446	0.579	0.881	0.812	0.426	1.000
5616	SHQ1	SHQ1 homolog (S. cerevisiae)	656447	3	3	3	0	0	2	0	1	0	0	0.155	0.359	0.712	0.949	0.939	0.426	1.000
5617	VCP	valosin-containing protein	907489	4	4	4	0	0	1	1	2	0	0	0.234	0.292	0.534	0.430	0.622	0.426	1.000
