index	chromosome	region_start	region_end	peak_start	peak_end	enlarged_peak_start	enlarged_peak_end	n_genes_in_region	genes_in_region	n_genes_in_peak	genes_in_peak	n_genes_on_chip	genes_on_chip	top 3	amp	cytoband	q_value
24	14	59181924	105986740	66971027	67650094	66969095	67653632	1	GPHN,	1	GPHN,	[Not Available]	[Not Available]	[Not Available]	0	14q23.3	9.195e-08
25	15	97650471	101883952	100507247	100955743	87572397	101883952	115	DDX11L9,WASH3P,FAM138E,OR4F13P,RN7SL209P,DNM1P47,snoU13|ENSG00000238502.1,LINS,RNA5SP402,RN7SL484P,DKFZP779J2370,MIR4714,RNA5SP401,RN7SL677P,RN7SKP181,RN7SKP254,MIR1469,LINC00924,MIR3175,RN7SL599P,LINC00930,snoU109|ENSG00000239197.1,snoU13|ENSG00000238981.1,RN7SL363P,SNORD18|ENSG00000200677.1,ZNF774,GABARAPL3,RN7SL736P,CIB1,RN7SL346P,RN7SL755P,C15orf38,MIR5009,MIR5094,MESP1,LINC00928,LINC00925,ISG20,ACAN,ALDH1A3,ANPEP,BLM,CHD2,FES,IDH2,IGF1R,MAN2A2,MEF2A,MFGE8,NTRK3,FURIN,PCSK6,PLIN1,POLG,RLBP1,SNRPA1,NR2F2,ST8SIA2,PEX11A,IQGAP1,PRC1,SV2B,AP3S2,SEMA4B,ABHD2,CHSY1,SYNM,VPS33B,MRPL46,OR4F4,SLCO3A1,NGRN,RHCG,DET1,FANCI,MCTP2,VIMP,UNC45A,RGMA,WDR93,AEN,CRTC3,TTC23,MRPS11,LRRK1,TM2D3,TICRR,RCCD1,ARRDC4,LINC00923,TARSL2,LRRC28,ASB7,LYSMD4,PGPEP1L,C15orf32,HAPLN3,MESP2,SPATA8,LINC00052,ADAMTS17,DNM1P46,CERS3,FAM169B,KIF7,ZNF710,HDDC3,SPATA41,GDPGP1,OR4F6,OR4F15,FAM174B,TTLL13,MIR1179,MIR3174,	3	RNA5SP402,ADAMTS17,SPATA41,	[Not Available]	[Not Available]	[Not Available]	0	15q26.3	0.056724
26	16	78197287	78931308	78129906	79246771	78101372	79293082	3	RNA5SP431,PIH1,WWOX,	2	PIH1,WWOX,	[Not Available]	[Not Available]	[Not Available]	0	16q23.1	7.8009e-06
27	17	987221	13059468	7473470	8254369	987221	10342378	262	RCVRN,GLP2R,STX8,RN7SL129P,SNORA69|ENSG00000212206.1,CTC1,MIR3676,SNORD118,TMEM107,snoU13|ENSG00000238676.1,SCARNA21|ENSG00000252835.1,RPL29P2,snoU13|ENSG00000251860.1,SNORD10,SNORA48|ENSG00000209582.1,SNORA67|ENSG00000264772.2,SLC35G6,GABARAP,ALOX12P2,TEKT1,C17orf100,RNA5SP435,DERL2,RN7SL784P,RN7SL171P,SPNS2,RN7SL774P,snoU13|ENSG00000238807.1,RNA5SP434,C17orf85,SHPK,ASPA,OR1E1,OR1D4,RN7SL605P,MIR1253,RN7SL608P,snoU13|ENSG00000239024.1,RN7SL33P,SNORD91A,SNORD91B,RN7SL624P,TLCD2,snoU13|ENSG00000238946.1,RN7SL105P,BHLHA9,MIR3183,TIMM22,DBIL5P,DOC2B,ABR,ACADVL,ALOX12,ALOX12B,ALOX15,ALOX15B,ARRB2,ASGR1,ASGR2,ATP1B2,ATP2A3,C1QBP,CD68,CHD3,CHRNB1,CHRNE,CLDN7,CRK,CTNS,DLG4,DPH1,DVL2,EFNB3,EIF4A1,EIF5A,ENO3,FGF11,GP1BA,GPS2,GUCY2D,HIC1,ITGAE,MNT,MYH8,MYH10,MYO1C,NUP88,OR1D2,OR3A1,OR3A2,P2RX1,P2RX5,PAFAH1B1,SERPINF1,PER1,PFAS,PFN1,PITPNA,PLD2,SERPINF2,POLR2A,PSMB6,RPA1,RPL26,SHBG,SLC2A4,SOX15,VAMP2,TP53,UBE2G1,TRPV1,YWHAE,ZNF232,OR1A1,OR1D5,OR1E2,OR1G1,OR3A3,SLC25A11,GAS7,SCARF1,TNK1,MYH13,TNFSF13,TM4SF5,USP6,RABEP1,KCNAB3,AURKB,NTN1,RPH3AL,FXR2,MPDU1,SPAG7,ACAP1,KIAA0753,SGSM2,CLEC10A,MYBBP1A,PRPF8,KIF1C,NLRP1,ARHGEF15,RAP1GAP2,CAMTA2,KDM6B,ZZEF1,CLUH,SMG6,WSCD1,CTDNEP1,PIK3R5,ELP5,SHPK,AIPL1,RNF167,SENP3,OR1A2,PELP1,RANGRF,TAX1BP3,MINK1,GEMIN4,MED31,GLOD4,YBX2,ANKFY1,INPP5K,FAM64A,XAF1,C17orf59,SLC52A1,WRAP53,RNMTL1,VPS53,TSR1,DHX33,PLSCR3,NLGN2,ZBTB4,CXCL16,TRAPPC1,ALOXE3,SRR,NXN,MIS12,METTL16,PHF23,FAM57A,NDEL1,ACKR6,EMC6,RILP,GSG2,ZMYND15,CAMKK1,RPAIN,LSMD1,NEURL4,ZNF594,HES7,SPATA22,TXNDC17,TMEM88,SAT2,SMYD4,CNTROB,CYB5D1,OVCA2,USP43,KRBA2,SLC43A2,CYB5D2,C17orf49,ZFP3,GGT6,WDR81,DNAH2,RTN4RL1,WDR16,CCDC42,PIK3R6,ODF4,KCTD11,MFSD6L,TRPV3,SLC16A11,FBXO39,DHRS7C,SLC16A13,C17orf74,SPNS3,TMEM256,BCL6B,VMO1,LINC00324,SLC13A5,TMEM102,TUSC5,TMEM95,SMTNL2,FAM101B,SPEM1,GLTPD2,INCA1,SCIMP,SPDYE4,OR3A4P,SLC25A35,C17orf97,MED11,MIR132,MIR212,MIR22HG,TNFSF12,RNASEK,MIR324,MIR497HG,RNF222,C17orf107,MIR4314,MIR4520B,	48	SNORA69|ENSG00000212206.1,CTC1,MIR3676,SNORD118,TMEM107,snoU13|ENSG00000238676.1,SCARNA21|ENSG00000252835.1,RPL29P2,snoU13|ENSG00000251860.1,SNORD10,SNORA48|ENSG00000209582.1,SNORA67|ENSG00000264772.2,ALOX12B,ALOX15B,ATP1B2,CD68,CHD3,EFNB3,EIF4A1,GUCY2D,PER1,PFAS,SHBG,SOX15,VAMP2,TP53,KCNAB3,AURKB,FXR2,MPDU1,ARHGEF15,KDM6B,RANGRF,C17orf59,WRAP53,TRAPPC1,ALOXE3,LSMD1,HES7,TMEM88,SAT2,CNTROB,CYB5D1,DNAH2,ODF4,LINC00324,SLC25A35,MIR4314,	[Not Available]	[Not Available]	[Not Available]	0	17p13.1	3.9592e-10
28	17	15932983	16185122	15930007	16124725	15928222	16245796	3	MIR1288,RN7SL442P,NCOR1,	2	RN7SL442P,NCOR1,	[Not Available]	[Not Available]	[Not Available]	0	17p11.2	0.0001026
29	18	47179874	51872386	48492168	48616656	40858609	77107934	175	RBFA,RBFADN,SALL3,RNA5SP461,SNORA25|ENSG00000199392.1,GALR1,LINC00683,ZNF516,SMIM21,ZADH2,RN7SL551P,RN7SL401P,MIR548AV,RNA5SP460,RN7SL795P,snoU13|ENSG00000238988.1,RN7SL705P,RNF152,RN7SL342P,OACYLP,U8|ENSG00000199713.1,RN7SL112P,SNORD28|ENSG00000252284.1,FECH,U3|ENSG00000212539.1,TXNL1,SNORA73|ENSG00000201816.1,RNA5SP459,SNORA37,DCC,snoU13|ENSG00000238885.1,RN7SL695P,ME2,RNA5SP458,RN7SL310P,RNA5SP457,SCARNA18|ENSG00000252139.1,SCARNA17|ENSG00000251992.1,SCARNA17|ENSG00000267322.1,SNORD58B,SNORD58A,SNORD58C,C18orf32,MIR4744,MIR4743,RNA5SP456,IER3IP1,RNF165,RN7SKP26,RNA5SP455,ATP5A1,BCL2,CDH7,CYB5A,KDSR,GRP,LMAN1,SMAD2,SMAD4,SMAD7,MBD1,MBP,MC4R,MYO5B,NARS,NFATC1,SERPINB2,ATP8B1,SERPINB5,SERPINB8,SERPINB10,SERPINB13,PMAIP1,MAPK4,RAB27B,RPL17,SERPINB3,SERPINB4,SLC14A1,TCF4,ZNF236,SLC14A2,SERPINB7,TNFRSF11A,MBD2,PSTPIP2,PIAS2,CTDP1,SOCS6,LIPG,ONECUT2,VPS4B,CTIF,TSHZ1,ACAA2,CD226,MALT1,TXNL4A,POLI,ADNP2,PHLPP1,NEDD4L,WDR7,PIGN,RTTN,SETBP1,KCNG2,CDH20,CDH19,TIMM21,ST8SIA5,RAX,CXXC1,ST8SIA3,IER3IP1,TCEB3B,MEX3C,TMX3,DYM,ZCCHC2,ZNF532,ELAC1,ZNF407,CNDP2,KIAA1468,EPG5,CCDC102B,PQLC1,CCDC68,NETO1,KATNAL2,MRO,HDHD2,PARD6G,CNDP1,SERPINB12,SERPINB11,SEC11C,DSEL,HAUS1,ALPK2,LOXHD1,FAM69C,STARD6,C18orf25,CCBE1,CBLN2,C18orf54,TCEB3C,FBXO15,ZBTB7C,SKA1,CCDC11,GTSCR1,DOK6,LINC00305,DYNAP,BOD1L2,SIGLEC15,LINC00908,HMSD,CPLX4,ATP9B,LINC00909,MIR122,HSBP1L1,C18orf63,SKOR2,TCEB3CL,MIR1539,MIR4319,TCEB3CL2,MIR4527,MIR4529,MIR5011,	2	SMAD4,ELAC1,	[Not Available]	[Not Available]	[Not Available]	0	18q21.2	0.019373
30	19	284018	13552900	3354956	3481578	284018	5455422	180	RN7SL626P,MIR4747,UHRF1,RN7SL121P,LRG1,HDGFRP2,RN7SL528P,RN7SL84P,PIAS4,SNORD37|ENSG00000206775.1,MIR637,RN7SL202P,SNORD38|ENSG00000252408.1,FZR1,RN7SL866P,GNA11,ZNF554,SPPL2B,LINGO3,MIR4321,MIR1227,RN7SL226P,MIR1909,ONECUT3,UQCR11,RN7SL477P,NDUFS7,C19orf24,POLR2E,ARID3A,CFD,MIR4745,RNA5SP462,OR4F17,FAM138F,WASH5P,AES,AMH,ATP5D,AZU1,HCN2,BSG,CDC34,CIRBP,CNN2,CSNK1G2,DAPK3,EEF2,EFNA2,ELANE,GAMT,GNA15,GNG7,MKNK2,GPX4,GZMM,MATK,GADD45B,NFIC,OAZ1,PALM,POLRMT,MAP2K2,PRTN3,PTBP1,PTPRS,RPS15,SGTA,SH3GL1,STK11,TBXA2R,TCF3,THOP1,TLE2,MADCAM1,SF3A2,PPAP2C,S1PR4,AP3D1,APBA3,MED16,CHAF1A,EBI3,PLIN3,FSTL3,APC2,ABCA7,HMG20B,SEMA6B,UQCR11,SBNO2,KDM4B,ZFR2,PIP5K1C,HMHA1,SHC2,TIMM13,DAZAP1,FGF22,TJP3,NMRK2,SLC39A3,THEG,ZBTB7A,SIRT6,LSM7,MBD3,MIER2,PCSK4,PLEKHJ1,FEM1A,STAP2,BTBD2,RNF126,CCDC94,C19orf10,NCLN,SHD,WDR18,REXO1,ZNF77,CACTIN,CELF5,FSD1,TLE6,LPPR3,ZNF556,UBXN6,ABHD17A,DOHH,KLF16,DOT1L,KISS1R,CREB3L3,LMNB2,RAX2,MUM1,MPND,ATCAY,MIDN,DPP9,R3HDM4,TMEM259,TPGS1,REEP6,IZUMO4,SCAMP4,ADAT3,GRIN3B,MRPL54,TMIGD2,TNFAIP8L1,ZNF57,JSRP1,MOB3A,MFSD12,GIPC3,MISP,PLK5,C2CD4C,TICAM1,C19orf25,ATP8B3,DIRAS1,ZNF555,ANKRD24,C19orf26,C19orf77,ODF3L2,ADAMTSL5,TMPRSS9,C19orf35,MEX3D,PRSS57,PLIN5,ARRDC5,PLIN4,C19orf71,MIR3187,MIR4746,	2	NFIC,C19orf77,	[Not Available]	[Not Available]	[Not Available]	0	19p13.3	4.7028e-08
31	20	15467743	15468146	13974549	16036115	13965125	16252367	4	RNA5SP475,RN7SL864P,FLRT3,MACROD2,	4	RNA5SP475,RN7SL864P,FLRT3,MACROD2,	[Not Available]	[Not Available]	[Not Available]	0	20p12.1	0.051716
32	22	47087439	49331012	48883796	49287130	44209164	49331012	84	ARSA,RN7SL500P,DENND6B,TTLL8,ALG12,RN7SKP252,CDPF1,C22orf26,LINC00899,MIR4762,MIR1249,LINC00229,ACR,CHKB,CPT1B,TYMP,FBLN1,PPARA,MAPK11,MAPK12,SBF1,UPK3A,WNT7B,CELSR1,PPP6R2,ZBED4,SCO2,PKDREJ,NUP50,RABL2B,GRAMD4,MLC1,KIAA0930,MAPK8IP2,PLXNB2,BRD1,TBC1D22A,SAMM50,ATXN10,FAM19A5,SULT4A1,RIBC2,SMC1B,PARVB,NCAPH2,GTSE1,MOV10L1,FAM118A,TTC38,MIOX,PRR5,TRMU,PANX2,PARVG,CERK,CRELD2,ADM2,TRABD,PNPLA3,HDAC10,LDOC1L,KIAA1644,SHANK3,TUBGCP6,LMF2,PHF21B,KLHDC7B,PNPLA5,C22orf34,LINC00207,FLJ27365,LINC00898,IL17REL,MIRLET7A3,MIRLET7B,PIM3,ODF3B,ARHGAP8,SYCE3,MIR3201,MIR3619,MIR3667,MIR4763,MIR4535,	2	FAM19A5,MIR4535,	[Not Available]	[Not Available]	[Not Available]	0	22q13.32	0.05307
33	22	28674333	28674833	28373744	29076148	28317130	29082628	4	RN7SL162P,SNORD42|ENSG00000201209.1,RN7SL757P,TTC28,	4	RN7SL162P,SNORD42|ENSG00000201209.1,RN7SL757P,TTC28,	[Not Available]	[Not Available]	[Not Available]	0	22q12.1	0.095859
34	X	132905411	132905710	132667024	133128729	132551806	133298873	7	GPC3,MIR106A,MIR19B2,MIR92A2,MIR363,MIR20B,MIR18B,	1	GPC3,	[Not Available]	[Not Available]	[Not Available]	0	Xq26.2	0.12335
